operator_id,property,applications,applicable_count,pass_count,fail_count,pass_rate,classification
R7,rooted_weight_seven,210,210,210,0,1.000000,invariant_or_covariant
R7,forte_family,210,210,10,200,0.047619,conditional
R7,orientation,210,210,1,209,0.004762,conditional
R7,chirality,210,210,152,58,0.723810,conditional
R7,role,210,210,84,126,0.400000,conditional
R7,fine_role,210,210,24,186,0.114286,conditional
R7,tier,210,210,72,138,0.342857,conditional
R7,office_bearing_status,210,210,142,68,0.676190,conditional
R7,exact_office,210,210,80,130,0.380952,conditional
R7,office_plus_two_mod_7,210,112,0,112,0.000000,not_preserved
L7,rooted_weight_seven,210,210,210,0,1.000000,invariant_or_covariant
L7,forte_family,210,210,10,200,0.047619,conditional
L7,orientation,210,210,1,209,0.004762,conditional
L7,chirality,210,210,152,58,0.723810,conditional
L7,role,210,210,84,126,0.400000,conditional
L7,fine_role,210,210,24,186,0.114286,conditional
L7,tier,210,210,72,138,0.342857,conditional
L7,office_bearing_status,210,210,142,68,0.676190,conditional
L7,exact_office,210,210,80,130,0.380952,conditional
L7,office_plus_two_mod_7,210,112,8,104,0.071429,conditional
