witness_id,source_id,operator_id,conjugate_operator_id,left_path,right_path,left_defined,right_defined,left_target_id,right_target_id,domain_matches,target_matches,result
covariance:R3:3723,3723,R3,R2,R3;M,M;R2,true,true,3913,3913,true,true,PASS
covariance:R3:3725,3725,R3,R2,R3;M,M;R2,true,true,1957,1957,true,true,PASS
covariance:R3:3731,3731,R3,R2,R3;M,M;R2,true,true,3921,3921,true,true,PASS
covariance:R3:3733,3733,R3,R2,R3;M,M;R2,true,true,1961,1961,true,true,PASS
covariance:R3:3737,3737,R3,R2,R3;M,M;R2,true,true,981,981,true,true,PASS
covariance:R3:3747,3747,R3,R2,R3;M,M;R2,true,true,3937,3937,true,true,PASS
covariance:R3:3749,3749,R3,R2,R3;M,M;R2,true,true,1969,1969,true,true,PASS
covariance:R3:3753,3753,R3,R2,R3;M,M;R2,true,true,985,985,true,true,PASS
covariance:R3:3761,3761,R3,R2,R3;M,M;R2,true,true,493,493,true,true,PASS
covariance:R3:3779,3779,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:3781,3781,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:3785,3785,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:3793,3793,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:3809,3809,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:3847,3847,R3,R2,R3;M,M;R2,true,true,3973,3973,true,true,PASS
covariance:R3:3851,3851,R3,R2,R3;M,M;R2,true,true,3977,3977,true,true,PASS
covariance:R3:3853,3853,R3,R2,R3;M,M;R2,true,true,1989,1989,true,true,PASS
covariance:R3:3859,3859,R3,R2,R3;M,M;R2,true,true,3985,3985,true,true,PASS
covariance:R3:3861,3861,R3,R2,R3;M,M;R2,true,true,1993,1993,true,true,PASS
covariance:R3:3865,3865,R3,R2,R3;M,M;R2,true,true,997,997,true,true,PASS
covariance:R3:3875,3875,R3,R2,R3;M,M;R2,true,true,4001,4001,true,true,PASS
covariance:R3:3877,3877,R3,R2,R3;M,M;R2,true,true,2001,2001,true,true,PASS
covariance:R3:3881,3881,R3,R2,R3;M,M;R2,true,true,1001,1001,true,true,PASS
covariance:R3:3889,3889,R3,R2,R3;M,M;R2,true,true,501,501,true,true,PASS
covariance:R3:3907,3907,R3,R2,R3;M,M;R2,true,true,4033,4033,true,true,PASS
covariance:R3:3909,3909,R3,R2,R3;M,M;R2,true,true,2017,2017,true,true,PASS
covariance:R3:3913,3913,R3,R2,R3;M,M;R2,true,true,1009,1009,true,true,PASS
covariance:R3:3921,3921,R3,R2,R3;M,M;R2,true,true,505,505,true,true,PASS
covariance:R3:3937,3937,R3,R2,R3;M,M;R2,true,true,253,253,true,true,PASS
covariance:R3:3971,3971,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:3973,3973,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:3977,3977,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:3985,3985,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:4001,4001,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:R3:4033,4033,R3,R2,R3;M,M;R2,false,false,,,true,true,PASS
covariance:L3:127,127,L3,L2,L3;M,M;L2,false,false,,,true,true,PASS
covariance:L3:191,191,L3,L2,L3;M,M;L2,false,false,,,true,true,PASS
covariance:L3:223,223,L3,L2,L3;M,M;L2,false,false,,,true,true,PASS
covariance:L3:239,239,L3,L2,L3;M,M;L2,false,false,,,true,true,PASS
covariance:L3:247,247,L3,L2,L3;M,M;L2,false,false,,,true,true,PASS
covariance:L3:251,251,L3,L2,L3;M,M;L2,true,true,2171,2171,true,true,PASS
